rest_time,heart_rate_stop,heart_rate_start,speed_stop,speed_start,altitude_stop,altitude_start,total_running_time,HRR
50.0,132.0,82.0,10.5156,0.0,184.0,178.6,153.0,50.0
12.0,156.0,116.0,11.7216,0.1692,204.4,209.8,152.0,40.0
117.0,138.0,75.0,13.302,0.1332,173.0,181.8,425.0,63.0
2.0,154.0,154.0,14.6808,14.544,176.4,175.8,720.0,0.0
712.0,165.0,94.0,15.2496,0.0,179.8,170.4,1984.0,71.0
2.0,177.0,177.0,18.0036,17.8704,181.4,182.6,3359.0,0.0
483.0,177.0,102.0,9.9756,0.0,182.6,185.2,3360.0,75.0
12.0,149.0,142.0,11.6208,0.0324,179.8,181.6,3607.0,7.0
6.0,154.0,149.0,11.7216,0.1692,198.2,197.0,3775.0,5.0
8.0,155.0,125.0,11.4192,0.0,186.2,184.6,150.0,30.0
10.0,146.0,117.0,11.3184,0.0,177.0,177.8,214.0,29.0
30.0,156.0,102.0,13.1328,0.234,176.8,188.8,334.0,54.0
130.0,162.0,100.0,12.8988,0.0684,181.6,198.8,2516.0,62.0
71.0,151.0,106.0,12.528,0.0,181.0,177.8,2976.0,45.0
2.0,148.0,147.0,12.564,12.3948,182.2,182.4,3788.0,1.0
7.0,162.0,119.0,10.278,0.0684,177.4,178.8,45.0,43.0
23.0,144.0,78.0,8.766,0.0,178.6,179.0,52.0,66.0
25.0,150.0,99.0,12.564,0.0,177.6,175.8,147.0,51.0
682.0,153.0,76.0,14.04,2.6532,172.2,178.8,349.0,77.0
189.0,129.0,80.0,11.4192,0.0,174.0,174.6,660.0,49.0
177.0,167.0,101.0,19.7496,0.0,173.6,172.8,897.0,66.0
177.0,165.0,105.0,18.2412,2.5848,177.0,171.8,1145.0,60.0
178.0,173.0,102.0,18.6768,0.0,173.8,175.4,1395.0,71.0
19.0,166.0,158.0,21.2292,3.5604,171.0,173.0,1640.0,8.0
397.0,157.0,96.0,2.6208,0.0,173.2,161.2,1642.0,61.0
215.0,166.0,90.0,18.4752,1.278,158.6,156.2,1912.0,76.0
566.0,86.0,91.0,0.0,4.8024,156.2,164.8,1918.0,-5.0
26.0,148.0,105.0,10.0116,0.0324,243.2,215.0,246.0,43.0
7.0,148.0,133.0,12.6972,0.0,199.2,200.6,529.0,15.0
43.0,145.0,88.0,0.0,0.1008,200.0,200.8,535.0,57.0
4.0,147.0,142.0,12.9672,0.0,184.2,182.8,668.0,5.0
5.0,114.0,111.0,12.5964,0.0,188.6,188.4,25.0,3.0
35.0,136.0,97.0,10.6812,0.1332,185.4,185.4,153.0,39.0
19.0,156.0,116.0,10.8504,0.0,173.2,175.2,134.0,40.0
605.0,151.0,86.0,15.9876,4.2984,168.0,176.0,561.0,65.0
130.0,73.0,89.0,0.4032,3.2904,173.8,173.0,1026.0,-16.0
265.0,170.0,106.0,24.1164,0.0,180.6,173.8,2626.0,64.0
1429.0,175.0,84.0,28.0152,4.7376,176.8,176.6,2847.0,91.0
37.0,70.0,72.0,0.0,4.0644,198.8,208.6,1.0,-2.0
2.0,113.0,113.0,10.0764,2.9556,187.8,188.0,82.0,0.0
4.0,132.0,124.0,12.4632,4.6692,172.2,172.0,163.0,8.0
1.0,84.0,87.0,2.3832,2.3508,179.2,179.2,552.0,-3.0
8.0,136.0,127.0,11.9916,0.0,180.0,180.2,1852.0,9.0
5.0,140.0,137.0,12.7656,2.988,185.2,184.8,1976.0,3.0
18.0,125.0,98.0,10.6488,0.3024,174.2,173.0,304.0,27.0
4.0,110.0,106.0,12.564,1.3428,173.6,174.2,316.0,4.0
111.0,131.0,68.0,8.4636,0.4032,172.2,164.4,1192.0,63.0
48.0,134.0,96.0,11.2176,4.536,171.2,175.8,1575.0,38.0
86.0,140.0,90.0,10.2132,4.1652,197.4,244.8,2024.0,50.0
424.0,149.0,76.0,13.2696,0.0,181.4,177.0,2805.0,73.0
346.0,160.0,98.0,11.5884,4.5684,180.6,178.6,3894.0,62.0
8.0,158.0,153.0,12.7656,3.4596,185.4,184.8,4578.0,5.0
7.0,169.0,133.0,11.6892,5.3748,172.0,174.4,222.0,36.0
7.0,163.0,135.0,9.1368,0.2016,184.0,181.4,360.0,28.0
41.0,164.0,92.0,12.4956,0.0324,201.6,196.2,442.0,72.0
1671.0,161.0,60.0,13.3344,0.6048,179.8,197.0,690.0,101.0
886.0,56.0,75.0,0.3708,4.5684,206.0,194.8,949.0,-19.0
26.0,138.0,93.0,8.9676,2.2176,188.2,190.6,1099.0,45.0
4.0,139.0,123.0,11.4552,4.3668,175.4,176.6,1168.0,16.0
7.0,132.0,115.0,11.6208,0.0,170.8,171.2,1178.0,17.0
71.0,130.0,71.0,10.9836,0.0,176.4,181.0,1218.0,59.0
31.0,154.0,126.0,13.4712,0.0324,212.8,198.2,2543.0,28.0
382.0,158.0,80.0,16.3584,0.3348,174.4,171.6,680.0,78.0
301.0,122.0,84.0,10.7496,0.3708,174.6,170.8,970.0,38.0
164.0,102.0,100.0,0.0,3.8952,172.6,171.2,3184.0,2.0
20.0,130.0,118.0,10.2456,0.0324,174.2,174.2,3465.0,12.0
5.0,131.0,123.0,11.7576,1.9476,175.2,176.2,10.0,8.0
9.0,127.0,116.0,10.9512,0.1692,177.8,181.0,1874.0,11.0
6.0,164.0,148.0,11.2536,6.516,205.0,210.0,21.0,16.0
143.0,144.0,81.0,12.8304,3.6288,172.8,172.6,501.0,63.0
61.0,142.0,94.0,9.5076,2.4516,180.2,171.6,542.0,48.0
40.0,126.0,107.0,23.9832,2.6856,171.0,176.0,556.0,19.0
277.0,137.0,72.0,24.1848,0.504,179.0,182.0,570.0,65.0
71.0,150.0,94.0,14.2092,4.6368,175.0,170.0,475.0,56.0
41.0,166.0,141.0,15.8544,0.0,169.6,166.2,1947.0,25.0
225.0,170.0,96.0,18.0396,0.504,166.0,147.4,3453.0,74.0
45.0,95.0,100.0,0.0,0.0324,148.0,152.6,3457.0,-5.0
5.0,147.0,143.0,12.6648,8.1972,176.6,175.2,3619.0,4.0
16.0,141.0,124.0,12.5964,0.0,178.2,179.2,133.0,17.0
22.0,160.0,132.0,13.1688,0.0,183.4,182.6,862.0,28.0
2.0,157.0,155.0,11.6208,8.8344,171.6,172.2,909.0,2.0
2.0,155.0,154.0,11.6892,11.0844,167.0,166.6,966.0,1.0
26.0,159.0,131.0,14.8464,0.1332,160.6,167.0,1063.0,28.0
6.0,175.0,156.0,6.3828,6.3504,177.6,177.2,32.0,19.0
27.0,185.0,102.0,11.3544,0.1332,171.8,180.2,145.0,83.0
310.0,165.0,79.0,15.4512,3.492,171.6,177.6,355.0,86.0
221.0,152.0,99.0,12.528,0.4356,176.4,166.6,601.0,53.0
336.0,120.0,110.0,1.8144,4.5,173.4,178.6,2713.0,10.0
6.0,148.0,142.0,11.6568,0.504,180.0,180.4,3171.0,6.0
5.0,144.0,140.0,10.3464,1.6452,180.8,179.6,3177.0,4.0
9.0,136.0,127.0,15.2172,0.1692,175.4,175.8,150.0,9.0
58.0,137.0,82.0,12.8664,1.3428,165.2,165.0,615.0,55.0
2.0,142.0,138.0,11.9592,11.8224,173.2,172.6,1698.0,4.0
17.0,141.0,125.0,11.8908,0.1008,192.4,184.8,1903.0,16.0
174.0,158.0,110.0,13.3704,0.0,186.0,185.0,2310.0,48.0
22.0,152.0,140.0,11.9916,4.5684,192.4,192.2,2629.0,12.0
6.0,160.0,150.0,12.2616,0.0684,191.8,195.4,176.0,10.0
37.0,138.0,100.0,11.3544,3.1248,210.8,201.8,640.0,38.0
14.0,137.0,122.0,12.294,0.1332,197.6,201.6,733.0,15.0
58.0,126.0,81.0,11.1528,0.234,168.0,185.6,2692.0,45.0
17.0,137.0,125.0,11.9916,0.1332,162.8,181.4,2816.0,12.0
472.0,152.0,77.0,12.9996,2.2824,175.2,179.8,3299.0,75.0
4.0,143.0,138.0,11.9592,10.5804,188.6,190.2,3678.0,5.0
19.0,150.0,134.0,13.3704,3.1896,189.2,188.8,3892.0,16.0
61.0,146.0,99.0,11.7576,1.9152,200.0,194.4,3993.0,47.0
1125.0,151.0,71.0,14.1408,0.8748,192.4,201.4,4231.0,80.0
30.0,156.0,109.0,12.1248,0.2016,194.0,195.6,4350.0,47.0
25.0,146.0,125.0,12.564,0.2016,204.4,203.2,4570.0,21.0
4.0,146.0,145.0,13.806,7.8588,179.8,180.0,4676.0,1.0
34.0,150.0,98.0,13.1328,0.3348,225.0,230.8,27.0,52.0
8.0,155.0,142.0,14.4792,3.1896,174.4,177.0,226.0,13.0
14.0,159.0,142.0,8.7336,0.1008,164.0,160.4,1267.0,17.0
59.0,164.0,174.0,13.032,3.528,169.8,173.0,357.0,-10.0
463.0,154.0,74.0,15.6204,0.2016,153.6,165.2,558.0,80.0
70.0,124.0,82.0,10.8828,0.1332,164.6,171.2,807.0,42.0
80.0,109.0,83.0,12.1608,0.1332,165.4,173.6,832.0,26.0
103.0,116.0,106.0,2.5848,0.0,179.6,181.2,2641.0,10.0
658.0,165.0,100.0,16.6608,5.4072,171.8,179.6,2820.0,65.0
8.0,145.0,132.0,10.8504,0.3024,181.8,182.8,2886.0,13.0
18.0,166.0,101.0,11.9916,0.0,172.6,171.8,150.0,65.0
4.0,162.0,150.0,9.9432,9.81,223.0,211.6,477.0,12.0
11.0,139.0,119.0,11.1852,0.0324,217.0,200.0,152.0,20.0
20.0,133.0,120.0,9.4392,2.6856,174.0,177.2,1422.0,13.0
1.0,144.0,144.0,12.294,12.564,186.2,185.8,2571.0,0.0
622.0,161.0,81.0,10.8504,0.4032,207.8,187.4,2812.0,80.0
21.0,129.0,112.0,11.6208,0.0324,185.4,192.0,2857.0,17.0
